home_team,away_team,date,score_home,score_away,winner
Burnley,Crystal Palace,2023-11-04 15:00:00,0,2,2
Everton,Brighton Hove,2023-11-04 15:00:00,1,1,0
Man City,Bournemouth,2023-11-04 15:00:00,6,1,1
Sheffield Utd,Wolverhampton,2023-11-04 15:00:00,2,1,1
Newcastle,Arsenal,2023-11-04 17:30:00,1,0,1
Nottingham,Aston Villa,2023-11-05 14:00:00,2,0,1
Luton Town,Liverpool,2023-11-05 16:30:00,1,1,0
Tottenham,Chelsea,2023-11-06 20:00:00,1,4,2
Wolverhampton,Tottenham,2023-11-11 12:30:00,2,1,1
Arsenal,Burnley,2023-11-11 15:00:00,3,1,1
Crystal Palace,Everton,2023-11-11 15:00:00,2,3,2
Man United,Luton Town,2023-11-11 15:00:00,1,0,1
Bournemouth,Newcastle,2023-11-11 17:30:00,2,0,1
Aston Villa,Fulham,2023-11-12 14:00:00,3,1,1
Brighton Hove,Sheffield Utd,2023-11-12 14:00:00,1,1,0
Liverpool,Brentford,2023-11-12 14:00:00,3,0,1
West Ham,Nottingham,2023-11-12 14:00:00,3,2,1
Chelsea,Man City,2023-11-12 16:30:00,4,4,0
Man City,Liverpool,2023-11-25 12:30:00,1,1,0
Burnley,West Ham,2023-11-25 15:00:00,1,2,2
Luton Town,Crystal Palace,2023-11-25 15:00:00,2,1,1
Newcastle,Chelsea,2023-11-25 15:00:00,4,1,1
Nottingham,Brighton Hove,2023-11-25 15:00:00,2,3,2
Sheffield Utd,Bournemouth,2023-11-25 15:00:00,1,3,2
Brentford,Arsenal,2023-11-25 17:30:00,0,1,2
Tottenham,Aston Villa,2023-11-26 14:00:00,1,2,2
Everton,Man United,2023-11-26 16:30:00,0,3,2
Fulham,Wolverhampton,2023-11-27 20:00:00,3,2,1
Arsenal,Wolverhampton,2023-12-02 15:00:00,2,1,1
Brentford,Luton Town,2023-12-02 15:00:00,3,1,1
Burnley,Sheffield Utd,2023-12-02 15:00:00,5,0,1
Nottingham,Everton,2023-12-02 17:30:00,0,1,2
Newcastle,Man United,2023-12-02 20:00:00,1,0,1
Bournemouth,Aston Villa,2023-12-03 14:00:00,2,2,0
Chelsea,Brighton Hove,2023-12-03 14:00:00,3,2,1
Liverpool,Fulham,2023-12-03 14:00:00,4,3,1
West Ham,Crystal Palace,2023-12-03 14:00:00,1,1,0
Man City,Tottenham,2023-12-03 16:30:00,3,3,0
Wolverhampton,Burnley,2023-12-05 19:30:00,1,0,1
Luton Town,Arsenal,2023-12-05 20:15:00,3,4,2
Brighton Hove,Brentford,2023-12-06 19:30:00,2,1,1
Fulham,Nottingham,2023-12-06 19:30:00,5,0,1
Sheffield Utd,Liverpool,2023-12-06 19:30:00,0,2,2
Crystal Palace,Bournemouth,2023-12-06 19:30:00,0,2,2
Aston Villa,Man City,2023-12-06 20:15:00,1,0,1
Man United,Chelsea,2023-12-06 20:15:00,2,1,1
Everton,Newcastle,2023-12-07 19:30:00,3,0,1
Tottenham,West Ham,2023-12-07 20:15:00,1,2,2
Crystal Palace,Liverpool,2023-12-09 12:30:00,1,2,2
Brighton Hove,Burnley,2023-12-09 15:00:00,1,1,0
Man United,Bournemouth,2023-12-09 15:00:00,0,3,2
Sheffield Utd,Brentford,2023-12-09 15:00:00,1,0,1
Wolverhampton,Nottingham,2023-12-09 15:00:00,1,1,0
Aston Villa,Arsenal,2023-12-09 17:30:00,1,0,1
Everton,Chelsea,2023-12-10 14:00:00,2,0,1
Fulham,West Ham,2023-12-10 14:00:00,5,0,1
Luton Town,Man City,2023-12-10 14:00:00,1,2,2
Tottenham,Newcastle,2023-12-10 16:30:00,4,1,1
Nottingham,Tottenham,2023-12-15 20:00:00,0,2,2
Chelsea,Sheffield Utd,2023-12-16 15:00:00,2,0,1
Man City,Crystal Palace,2023-12-16 15:00:00,2,2,0
Newcastle,Fulham,2023-12-16 15:00:00,3,0,1
Burnley,Everton,2023-12-16 17:30:00,0,2,2
Arsenal,Brighton Hove,2023-12-17 14:00:00,2,0,1
Brentford,Aston Villa,2023-12-17 14:00:00,1,2,2
West Ham,Wolverhampton,2023-12-17 14:00:00,3,0,1
Liverpool,Man United,2023-12-17 16:30:00,0,0,0
Crystal Palace,Brighton Hove,2023-12-21 20:00:00,1,1,0
Aston Villa,Sheffield Utd,2023-12-22 20:00:00,1,1,0
West Ham,Man United,2023-12-23 12:30:00,2,0,1
Fulham,Burnley,2023-12-23 15:00:00,0,2,2
Luton Town,Newcastle,2023-12-23 15:00:00,1,0,1
Nottingham,Bournemouth,2023-12-23 15:00:00,2,3,2
Tottenham,Everton,2023-12-23 15:00:00,2,1,1
Liverpool,Arsenal,2023-12-23 17:30:00,1,1,0
